Classifier initialized!

Categories returned: 965

INDEX: 554 | DISPLAY: Pluvialis dominica | CATEGORY: /m/01rss2 | SCORE: 0.0
INDEX: 138 | DISPLAY: Sturnella magna | CATEGORY: /m/021t9y | SCORE: 0.0
INDEX: 562 | DISPLAY: Egretta thula | CATEGORY: /m/01p17h | SCORE: 0.0
INDEX: 282 | DISPLAY: Amazona oratrix | CATEGORY: /m/0cygkj | SCORE: 0.0
INDEX: 570 | DISPLAY: Turdus rufopalliatus | CATEGORY: /m/02q2qzl | SCORE: 0.0
INDEX: 34 | DISPLAY: Gallus gallus domesticus | CATEGORY: /m/09b5t | SCORE: 0.0
INDEX: 578 | DISPLAY: Cochlearius cochlearius | CATEGORY: /m/01dkq8 | SCORE: 0.0
INDEX: 290 | DISPLAY: Toxostoma curvirostre | CATEGORY: /m/07c9fd | SCORE: 0.0
INDEX: 586 | DISPLAY: Accipiter nisus | CATEGORY: /m/01vl48 | SCORE: 0.0
INDEX: 146 | DISPLAY: Callipepla californica | CATEGORY: /m/037csb | SCORE: 0.0
INDEX: 594 | DISPLAY: Grus americana | CATEGORY: /m/01_l47 | SCORE: 0.0
INDEX: 298 | DISPLAY: Streptopelia turtur | CATEGORY: /m/01c0bf | SCORE: 0.0
INDEX: 602 | DISPLAY: Platalea ajaja | CATEGORY: /m/02t5rg | SCORE: 0.0
INDEX: 74 | DISPLAY: Lagopus lagopus | CATEGORY: /m/01vdnt | SCORE: 0.0
INDEX: 610 | DISPLAY: Tringa incana | CATEGORY: /m/0c2p45 | SCORE: 0.0
INDEX: 306 | DISPLAY: Geothlypis tolmiei | CATEGORY: /m/07fh6t | SCORE: 0.0
INDEX: 618 | DISPLAY: Chroicocephalus ridibundus | CATEGORY: /m/01lgvx | SCORE: 0.0
INDEX: 154 | DISPLAY: Trogon melanocephalus | CATEGORY: /m/02w8z16 | SCORE: 0.0
INDEX: 626 | DISPLAY: Elanus leucurus | CATEGORY: /m/02b5y0 | SCORE: 0.0
INDEX: 314 | DISPLAY: Patagioenas flavirostris | CATEGORY: /m/0c1c7d | SCORE: 0.0
INDEX: 634 | DISPLAY: Ciccaba virgata | CATEGORY: /m/0bskd6 | SCORE: 0.0
INDEX: 18 | DISPLAY: Empidonax minimus | CATEGORY: /m/025s_5 | SCORE: 0.0
